Articolo Venduto,Date,Articolo - Listino,Colore,Taglia,Categoria,Genere,Posto,CASH,Sconto,Prezzo vendita,Costo acquisto + IVA,Netto,Margine %,Inventario,Prezzo di acquisto," IVA",Prezzo listino,IVA %,Margine,Costo,Prezzo di vendita,Data,Variazione prezzo
100g,"September 21, 2024",Neoprene Light 1 MID (https://www.notion.so/Neoprene-Light-1-MID-115f56f3c32b80cb9651e63291e98367?pvs=21),Nero,XL,100G,Donna,Corsico Milano,No,,45,29.35,15.65,1.544736842105,,19,10.35,45,,,,,,
100g,"September 21, 2024",HeD CS (https://www.notion.so/HeD-CS-91150e24a1654403b3abdb417bddeeca?pvs=21),Pistacchio,52,100G,Donna,Corsico Milano,No,-5,50,31.5,18.5,1.575,,20,11.5,45,,,,,,
100g,"September 21, 2024",HeD CS (https://www.notion.so/HeD-CS-91150e24a1654403b3abdb417bddeeca?pvs=21),Nero,56,100G,Donna,Corsico Milano,No,,45,30.35,14.65,1.5175,,20,10.35,45,,,,,,
100g,"September 21, 2024",HeD CS (https://www.notion.so/HeD-CS-91150e24a1654403b3abdb417bddeeca?pvs=21),Beige,54,100G,Donna,Corsico Milano,No,,45,30.35,14.65,1.5175,,20,10.35,45,,,,,,
100g,"September 21, 2024",HeD CS Lungo (https://www.notion.so/HeD-CS-Lungo-beb5984dce484c44a9df34a8ba10a7ea?pvs=21),Verde,54,100G,Donna,Corsico Milano,No,-10,55,32.65,22.35,1.6325,,20,12.65,45,,,,,,
100g,"September 21, 2024",HeD Chanel (https://www.notion.so/HeD-Chanel-82fa229e61c74f8b9ea5ce9c4dc357c4?pvs=21),Blu,52,100G,Donna,Corsico Milano,No,,35,23.05,11.95,1.536666666667,,15,8.05,35,,,,,,
100g,"September 21, 2024",Uomo Easy (https://www.notion.so/Uomo-Easy-115f56f3c32b8023a932cce9ee960e0c?pvs=21),Nero,2XL,100G,Uomo,Corsico Milano,No,,35,13.05,21.95,2.61,,5,8.05,35,,,,,,
100g,"September 21, 2024",100g Blazer (https://www.notion.so/100g-Blazer-115f56f3c32b808cabbfc62af17239b5?pvs=21),Blu,S,100G,Donna,Corsico Milano,No,,35,23.05,11.95,1.536666666667,,15,8.05,35,,,,,,
100g,"September 21, 2024",Easy CS (https://www.notion.so/Easy-CS-115f56f3c32b806dbea2cdebb1d33477?pvs=21),Bianco,2XL,100G,Donna,Corsico Milano,No,,35,23.05,11.95,1.536666666667,,15,8.05,35,,,,,,
100g,"September 21, 2024",Uomo Giacca (https://www.notion.so/Uomo-Giacca-115f56f3c32b80fba6e8e8e6dc36595c?pvs=21),Nero,M,100G,Uomo,Corsico Milano,No,,45,15.35,29.65,3.07,,5,10.35,45,,,,,,
100g,"September 21, 2024",Easy CS (https://www.notion.so/Easy-CS-115f56f3c32b806dbea2cdebb1d33477?pvs=21),Verde,2XL,100G,Donna,Corsico Milano,No,,35,23.05,11.95,1.536666666667,,15,8.05,35,,,,,,
100g,"September 21, 2024",Uomo Giacca (https://www.notion.so/Uomo-Giacca-115f56f3c32b80fba6e8e8e6dc36595c?pvs=21),Blu,L,100G,Uomo,Corsico Milano,No,,45,15.35,29.65,3.07,,5,10.35,45,,,,,,
100g,"September 21, 2024",HeD CS (https://www.notion.so/HeD-CS-91150e24a1654403b3abdb417bddeeca?pvs=21),Blu,48,100G,Donna,Corsico Milano,No,,45,30.35,14.65,1.5175,,20,10.35,45,,,,,,
100g,"September 21, 2024",Fly Giacca (https://www.notion.so/Fly-Giacca-115f56f3c32b804297cfde9efb04945a?pvs=21),Nero,52,100G,Donna,Corsico Milano,No,-10,55,31.65,23.35,1.665789473684,,19,12.65,45,,,,,,
100g,"September 21, 2024",Trapezio 3/4 (https://www.notion.so/Trapezio-3-4-115f56f3c32b80a09c1cf19a7e3a427f?pvs=21),Beige,48,100G,Donna,Corsico Milano,No,,45,28.35,16.65,1.575,,18,10.35,45,,,,,,
