Articolo Venduto,Date,Articolo - Listino,Colore,Taglia,Categoria,Genere,Posto,CASH,Sconto,Prezzo vendita,Costo acquisto + IVA,Netto,Margine %,Inventario
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,M,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Nero,L,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Nero,M,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,50,Spolverini,Uomo,Corsico Milano,No,,25,15.75,9.25,1.575,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,54,Spolverini,Uomo,Corsico Milano,No,,25,15.75,9.25,1.575,
Spolverini,"September 21, 2024",K25 Rov (https://www.notion.so/K25-Rov-115f56f3c32b80f2ba58c513cbc40dc8?pvs=21),Blu,L,Spolverini,Donna,Corsico Milano,No,,25,15.75,9.25,1.575,
Spolverini,"September 21, 2024",Uomo Light Bomber CS (https://www.notion.so/Uomo-Light-Bomber-CS-aa7a47a0528440abbe91b5618fc74f04?pvs=21),Verde,L,Spolverini,Uomo,Corsico Milano,No,,35,20.05,14.95,1.670833333333,
Spolverini,"September 21, 2024",35 Sport (https://www.notion.so/35-Sport-116f56f3c32b802f9036ec440af7f84e?pvs=21),Celeste,2XL,Spolverini,Donna,Corsico Milano,No,,35,20.05,14.95,1.670833333333,
Spolverini,"September 21, 2024",35 Sport (https://www.notion.so/35-Sport-116f56f3c32b802f9036ec440af7f84e?pvs=21),Bianco,L,Spolverini,Donna,Corsico Milano,No,,35,20.05,14.95,1.670833333333,
Spolverini,"September 21, 2024",35 Sport (https://www.notion.so/35-Sport-116f56f3c32b802f9036ec440af7f84e?pvs=21),Bianco,2XL,Spolverini,Donna,Corsico Milano,No,,35,20.05,14.95,1.670833333333,
Spolverini,"September 21, 2024",Uomo Light Basic (https://www.notion.so/Uomo-Light-Basic-34d8f0001aff4b6486c56342bc075737?pvs=21),Topo,M,Spolverini,Uomo,Corsico Milano,No,,25,14.75,10.25,1.638888888889,
Spolverini,"September 21, 2024",35 Svasato ER (https://www.notion.so/35-Svasato-ER-116f56f3c32b8084a1d3dad704d4678e?pvs=21),Blu,L,Spolverini,Donna,Corsico Milano,No,,35,23.55,11.45,1.51935483871,
Spolverini,"September 21, 2024",35 Svasato ER (https://www.notion.so/35-Svasato-ER-116f56f3c32b8084a1d3dad704d4678e?pvs=21),Nero,51,Spolverini,Donna,Corsico Milano,No,,35,23.55,11.45,1.51935483871,
Spolverini,"September 21, 2024",35 Svasato ER (https://www.notion.so/35-Svasato-ER-116f56f3c32b8084a1d3dad704d4678e?pvs=21),Blu,2XL,Spolverini,Donna,Corsico Milano,No,,35,23.55,11.45,1.51935483871,
Spolverini,"September 21, 2024",35 Sport (https://www.notion.so/35-Sport-116f56f3c32b802f9036ec440af7f84e?pvs=21),Blu,L,Spolverini,Donna,Corsico Milano,No,,35,20.05,14.95,1.670833333333,
Spolverini,"September 21, 2024",35 Svasato ER (https://www.notion.so/35-Svasato-ER-116f56f3c32b8084a1d3dad704d4678e?pvs=21),Celeste,M,Spolverini,Donna,Corsico Milano,No,,35,23.55,11.45,1.51935483871,
Spolverini,"September 21, 2024",35 Sport (https://www.notion.so/35-Sport-116f56f3c32b802f9036ec440af7f84e?pvs=21),Bianco,L,Spolverini,Donna,Corsico Milano,No,,35,20.05,14.95,1.670833333333,
